"423012";"50 Cent";"C/C/c/C/c/C/-"
"6670763";"Willie Aames";"start/-"
"25139482";"Quinton Aaron";"stub/start"
"39453453";"Michel Gill";"Stub /Start "
"10270252";"Jermaine Crawford";"Stub"
"6469172";"Larry Drake";"Start/Start/-"
"38229702";"Sean Bridgers";""
"1834757";"James Cromwell";"Start/Stub/Start"
"9819607";"Barry Livingston";"stub"
"39460993";"Charles Michael Davis";"Stub"
"42382334";"Bill Chott";"Start/-"
"6421134";"Neil Flynn";"start/Start/Start/-"
"6441173";"Jason Hervey";"Start/Start/Start/Start/Start"
"10275636";"Jordan Lund";"Stub"
"1688774";"Emilio Estevez";"C/-"
"43408896";"Frankie Grande";"C/C/-/-/-/-"
"3151485";"Jon Bon Jovi";"C/C/C/C/C/C/-"
"5592861";"Billy Gardell";"Stub /stub /-"
"21945903";"Scott Elrod";"Stub"
"3574570";"Jason David Frank";"start/Start/C/-"
"6713388";"Hamilton Camp";"Start/Start/Start/Start/Start"
"25542227";"Juan Escobedo";"Stub"
"32748369";"Tom Mason (actor)";"stub"
"34459022";"Michael Bendetti";"stub/stub/stub"
"30366590";"Rawle D. Lewis";"start"
"10274129";"John Morris (actor)";"Stub/-"
"5586660";"Peter Boyle";"C/C/C/C/-"
"3053750";"Beau Bridges";"Start/Start/Start/Start"
"34273146";"Alejandro Alcondez";"start/c"
"583833";"John Malkovich";"Start /Start  /Start /Start/-/-/-/-"
"926755";"George Carlin";"C/C/C /C/C/C/C/C/C/-/-/-/-/-"
"44019716";"Nigel Miguel";"C /C/C/C/-"
"6437066";"James Carpinello";"Start/Start/-"
"24264894";"Peter Youngblood Hills";""
"7053099";"Eric Garcetti";"C/C/C/C/-/-"
"24987302";"Kiowa Gordon";""
"6397598";"Donovan Leitch (actor)";"Stub/-"
"2290075";"Richard Brooks (actor)";"Start/start/Start"
"2737296";"Dane Cook";"c/c/c"
"43275292";"Tom Goss (musician)";"C/C"
"23264063";"Noel Blanc";"Stub"
"23030483";"Brando Eaton";"Stub /Start "
"6521045";"Patrick Muldoon";"start/Start"
"22565797";"Edmund Entin";"Stub"
"5824594";"Andy Hallett";"start/start/start"
"5593021";"Gary Cole";"Start/Start/Start/Start/-"
"42731738";"Nathan Kress";"C/C/-"
"6539516";"R. D. Call";"Stub/Stub"
"2654558";"Joe Morton";"start/-/-"
"54403055";"Jorge Lendeborg Jr.";""
"6460436";"Justin Kirk";"Start"
"9188686";"Tracy Letts";"start/ Start/-/-"
"5138298";"Faizon Love";"Stub"
"27403900";"Matt Bennett";"C/-"
"47103272";"Adam Goldberg";"Start "
"9821932";"Brad Oscar";"Start /Start"
"7028067";"Larry Hankin";"Stub"
"6453895";"Jonathan Goldstein (actor)";"Start/Start"
"44548929";"Jordon Hodges";""
"1904005";"Jay Chandrasekhar";"stub/Stub /Stub/Stub/stub /-"
"6562711";"Robert Culp";"Start/start/start/-"
"6466114";"Khamani Griffin";"Stub"
"28736952";"Hubbel Palmer";"Stub"
"19941124";"Max Ehrich";"stub"
"6383057";"David Garrison";"Start/Start/Start/Start"
"6345785";"Breckin Meyer";"Stub/start"
"11216730";"Matthew Del Negro";"stub"
"6407859";"Eric Close";"Stub/Stub/Stub/Stub"
"6558990";"Ricky Paull Goldin";"Start /-"
"26158213";"Danny Jacobs (actor)";"start "
"9503934";"Lee Daniels";"start /C/C/-"
"10357571";"Samuel Page";"Start/Start"
"374962";"Jonathan Brandis";"-/C/-/-"
"10245892";"Elya Baskin";"start/start/Start"
"6628300";"Stephen Henderson (actor)";"Stub"
"1777008";"Ron Eldard";"Start/Start/-/-"
"21977958";"Peter Jessop";"Stub"
"36864700";"Dan Amboyer";"C/Start"
"6470614";"Lee Arenberg";"Start"
"41827491";"Philip Moon (actor)";"start"
"3755056";"Mehcad Brooks";"start/start"
"10243382";"C. S. Lee";"Stub/Stub/-"
"15894255";"Chris Mulkey";"stub/stub"
"33340185";"Nathan Lee Graham";"Stub"
"33402962";"Wilson Bethel";"start/start"
"6297816";"Anthony Denison";"Start"
"724390";"Vin Diesel";"c/C/-/-/-/-/-"
"31490778";"Josh Dallas";"start/Start"
"26299000";"Isaiah Mustafa";"Start/start/C/start/start/-"
"1650514";"Sean Hayes (actor)";"Start /Start/Start/Start/-"
"1669223";"Craig Ferguson";"C /C /C"
"41059156";"Andrew James Allen";"Stub"
"6662666";"Vincent Martella";"Start/-"
"47262632";"Brad Carter";"start/start/start/start/start"
"27715685";"Jackson Brundage";"Stub "
"47468353";"Ryan McCartan";"Start/Start"
"9253076";"John Dye";"Start/Start/start/-/-"
"39631718";"Keahu Kahuanui";""
"48387098";"Chris McCarrell";"Start"
"6400196";"Robby Benson";"Start/Start/Start/-"
"1068153";"Ice Cube";"B/B/b"
"1467042";"Macaulay Culkin";"C/-/-/-"
"27228011";"Stephen Kunken";""
"22561835";"Patrick Breen";"Stub/"
"10744980";"George Lowe";"Stub"
"6451016";"John Getz";""
"53622458";"Josh Cowdery";""
"2782533";"Edward James Olmos";"C/C/C/C/C"
"38080105";"Ricky Kim";"start"
"5407006";"Chad McCumbee";"stub/Stub"
"29210106";"Dylan Bluestone";"Stub "
"6656895";"Tyler Hoechlin";"Start/start/-"
"19274659";"Jon Lindstrom";"-/-"
"3671826";"Ray Liotta";"C /C /-"
"14948585";"Mark Deklin";"stub"
"25244777";"Jan Leighton";"C"
"50817294";"JR Lemon";"Start"
"6297856";"Anthony Fedorov";"Start/Start/Start"
"2207928";"Dan Aykroyd";"c/c/c/c/C"
"6361079";"Chuck McCann";"Start"
"35140551";"Josh Kelly (actor)";""
"10250195";"Graham Beckel";"Stub/Stub"
"54646222";"Jimmy LeBlanc";""
"2275674";"Jason Scott Lee";"Start/start/Start"
"7520584";"Patrick Heusinger";"Stub"
"6470802";"Lee Majors";"Start/Start/-"
"42619377";"Ellar Coltrane";"Stub/-"
"6568202";"Ron Masak";"Stub/Stub"
"4592543";"Mitchel Musso";"Start/Start"
"2809126";"Don Knotts";"B/B/-"
"48939373";"Harry Ford (actor)";"Stub"
"19276753";"RJ Mitte";"start /Start/Start/-"
"47573610";"Johan Khalilian";""
"7410084";"Jack McBrayer";"-/start/start/start/-"
"6408058";"Eric Mabius";"start/Start/Start"
"6443353";"Jeff Fahey";"start"
"26640578";"Noah Munck";"stub /Stub/-"
"9640222";"Jimmy Pardo";"start/start/-"
"18390556";"Tom Papa";"Stub"
"30575526";"Satya Bhabha";"Start"
"555851";"Dwayne Johnson";"GA/GA/GA/GA/GA/GA/GA/GA/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-"
"37905832";"Echo Kellum";"stub/Stub"
"6777290";"Kay E. Kuter";"stub/stub"
"10290561";"Hy Anzell";"Stub/-"
"55120602";"Deric McCabe";"Start/Start"
"1070927";"Chevy Chase";"B/B/-/-/-/-/-/-"
"6420850";"Giuseppe Andrews";"Start"
"2984791";"Bill Hader";"Start/c/c/-"
"41103086";"Joey Bragg";"stub/-"
"5037573";"Jason Earles";"Start/-"
"12897272";"John Gallagher Jr.";"Start/Start"
"3413216";"Greg Ayres";"Start/Start/-"
"50817091";"Britain Dalton";"Stub"
"6292755";"Allen Covert";"Stub"
"13889271";"Andy Karl";"stub/start"
"10268497";"Jason Graae";"C/C/C/C/-/-"
"16282867";"Daniel DeWeldon";"Start"
"2824440";"Andy Griffith";"B/B/B/-/-/-"
"6351893";"Carter Jenkins";"stub"
"2379662";"Charles Martinet";"start/start/-/-/-"
"28693139";"Jonathan Morgan Heit";"start/start"
"337848";"Jim Carrey";"C/C/C/C/C/-"
"6441954";"Jay Mohr";"B/-/-"
"23038901";"Windell Middlebrooks";"Start"
"6556853";"Richard Libertini";"Start/Start"
"55366119";"Anthony De La Torre";"start"
"5663052";"Robert Patrick";"C/C/C/C/C/-"
"47460989";"Aaron O'Connell";"Start /Start "
"53875770";"Paul Fitzgerald (actor)";"Start/Start"
"10754220";"Matt Corboy";"Stub"
"3440951";"Kevin Kline";"Start/start/start/start/-"
"48490677";"Perry Anzilotti";""
"6486234";"Matthew Gray Gubler";"Start/start"
"5530726";"Mario Lopez";"start//-/-"
"6509349";"Oliver Hudson";"start/start/-"
"3752385";"Patrick Dempsey";"start/start/start/-/-"
"32156652";"Bambadjan Bamba";"Start"
"11727693";"George Murdock (actor)";"Stub/Stub/Stub/Stub/Stub"
"23027244";"Kourtney Brown";"Stub"
"6623054";"Sherman Howard";"start/start/-"
"3422410";"Jason Bateman";"Start/-/-"
"18242226";"Lucas Cruikshank";"C /C /C/C/C/-"
"6375844";"Cuba Gooding Jr.";"Start/-"
"4405453";"Michael Emerson";"Start/start/start"
"1923543";"Dave Chappelle";"B/B/B"
"105950";"Val Kilmer";"B/-"
"4288899";"Jim Gaffigan";"C /C /C /C /C /-"
"31143793";"Brant Daugherty";"stub"
"36420517";"George Lee Andrews";"Stub"
"22554315";"Whit Hertford";"Stub"
"6217120";"Troy Donahue";"Start/start/-"
"6596845";"John Ericson";"Stub/Stub/-"
"6414734";"Gabriel Macht";"Start/Start"
"29776745";"Juan Gabriel Pareja";"Stub"
"5596407";"Kevin Connolly (actor)";"Start/start"
"49611843";"Alex Neustaedter";"Stub"
"44247525";"Joey Haro";"Stub"
"54663112";"Amari Cheatom";"Start"
"14884429";"Fred J. Lincoln";"stub/Stub"
"4424626";"Aaron Himelstein";"stub/Stub"
"3272932";"Edward Norton";"GA/GA/-/-"
"2648462";"Jorge Garcia";"start/start/Start/-"
"42431730";"Joe Minoso";""
"4731171";"Robert Guillaume";"Start/start/Start/-"
"3182899";"Marc Anthony";"C/C/C/C/C/C"
"39611639";"Jack Griffo";"start/-/-/-/-"
"32702731";"Tucker Albrizzi";"C"
"6370281";"Greg Germann";"stub/Stub/-/-"
"1990344";"John C. McGinley";"-/start/-"
"6366627";"Aasif Mandvi";"Start/Start/Start/-"
"48826472";"Gregory Cahill";""
"48821025";"Tyler Collins (actor)";"start/start"
"6441274";"Jason London";"Start/-"
"9838990";"Dylan Bruno";"Stub/Start"
"6379731";"Danny Nucci";"Start"
"5751983";"David DeLuise";"stub/-"
"6351940";"Casey Affleck";"C/c/c/-/-"
"47048205";"George Alvarez";"Start"
"6481043";"Mark Harmon";"C/C/C/-/-"
"6362787";"Clifton Davis";"Start/Start/Start/start"
"44936878";"Joey Graceffa";"start/start/start/-/start/start"
"6608978";"Mike Binder";"Start"
"6441009";"Jason Brooks (actor)";"stub/start"
"19995531";"Tomas Arana";"start/start"
"6668476";"William Atherton";"start/C/-"
"44469446";"Brandon Killham";"stub"
"6544425";"James Coburn";"c/Start/C/-"
"23321392";"Ethan Peck";"Start"
"228176";"Joshua Jackson";"Start/start/-"
"9817294";"Anwan Glover";"Stub/Stub/-"
"10373525";"Ty Panitz";"Stub/-"
"6451046";"John Glover (actor)";"start /start/Start"
"28738635";"Richard Lee Jackson";"stub"
"52491833";"Lamon Archey";""
"54725562";"McKinley Belcher III";"Start"
"50549803";"James P. Connolly";"Start/Start/Start"
"6591997";"Daryl Mitchell (actor)";"Stub/-"
"54903315";"Carlos Becerra (actor)";"Start"
"6466682";"Kirk Acevedo";"start/start"
"7802214";"Cody Cameron";"Stub/Stub"
"9837283";"Donald Glover";"C/C/-/-/-"
"6356157";"Chi McBride";"Start/Start/Start/Start"
"6657053";"Tzi Ma";"Stub/Stub/Stub/-"
"27235542";"David Del Rio";"Stub"
"32868884";"Mike Manning (actor)";"Start/Start/Start/Start"
"23037852";"Mason Vale Cotton";"Stub"
"7843410";"RonReaco Lee";"Stub"
"6534624";"Peter Barton (actor)";"Stub"
"28077334";"Joel Kinnaman";"Start/Start/-/-"
"52840939";"Matt Mercer (actor)";"stub"
"4090185";"Chris O'Donnell";"B/B/B/B/-/-"
"21926773";"Christian Boeving";"Stub"
"1955328";"Chamillionaire";"b/B/B/B/B/-"
"24264792";"Peter Marc Jacobson";"stub/stub"
"10252690";"Kyle Dunnigan";"C "
"36431486";"Cody Christian";"Stub"
"10378076";"Wood Harris";"Start/Start/start"
"14577560";"James Adomian";"start/start/start/start/-"
"40291397";"Wes Chatham";""
"39428891";"Garrett Clayton";"start"
"1918711";"Samm Levine";"Stub/Stub"
"6594566";"George DiCenzo";"Stub"
"19015336";"Alexander Sebastien Lee";"stub"
"3737249";"Tim Heidecker";"C/C/C/C/C"
"6564314";"Robert Osborne";"start/Start//-"
"23237493";"Justin Lee (actor)";"-"
"6360568";"Christopher Lloyd";"C/C/C"
"6638303";"Taylor Handley";"Stub/start"
"53818393";"Brandon Larracuente";""
"26583532";"Jay Park";"GA/GA/GA/GA/GA/GA/-"
"328566";"Garrett Morris";"Start/Start/Start/Start/Start"
"6559677";"Rob Corddry";"C/C/C"
"4295529";"Jared Padalecki";"start/Start/-/-/-"
"6490767";"Michael Peña";"Start/Start/Start"
"6608607";"Matthew Davis";"Start /-"
"6403574";"Elden Henson";""
"45342236";"Nicholas Irving";"Start /start /start /Start "
"6685602";"Regan Burns";"Start/Start"
"1014868";"Benjamin Bratt";"Start/start/Start/Start/-"
"4732493";"Clarence Gilyard";"Start/-"
"54270715";"Greer Barnes (comedian)";"Start /Start"
"3412964";"Orson Bean";"start/start /start/-"
"3424036";"Richard Newman (actor)";"/"
"26905566";"J. B. Adams";"Stub"
"50077960";"Steven Krueger";"stub/stub"
"10737795";"Barry Pearl";"Stub"
"48699215";"Emilio Insolera";"Start"
"29874539";"Bob Delegall";"stub"
"6451119";"John Gulager";"Stub"
"4440998";"John Carroll Lynch";"Start/Start/-"
"3735740";"Ashley Parker Angel";"Start/Stub"
"4370403";"Theodore Bikel";"B/B/B/B/B/Bimportance/-"
"6382201";"Peter MacNicol";"start/Start/-"
"6611531";"Rex Lee (actor)";"Stub/stub/-/-"
"31799825";"Danny Comden";"stub"
"3692834";"Jason Alexander";"c/c/c/-"
"22565901";"Shiloh Fernandez";"Start/start"
"38253184";"Boris McGiver";""
"47688220";"Jerrod Carmichael";"stub"
"2335529";"Stephen Dorff";"Start/start/-"
"38727529";"Murray Horwitz";"start"
"48563595";"Mike Castle (actor)";"Stub/Stub"
"9218372";"Todd Lowe";"Stub/Stub"
"68237";"Woody Allen";"C/C/C/C/C/C/C/C/-"
"6423083";"Gregory Harrison";"stub/Start"
"4649409";"Jesse James (actor)";"stub"
"10244325";"Conor Knighton";"Stub"
"51766459";"Alex Moffat (comedian)";"Stub"
"43072666";"Shawn Christensen";"C/C"
"4656127";"Black Thought";"Start/Start/start/Start/-"
"6465700";"Kevin J. O'Connor (actor)";"Start/start"
"30160382";"Anthony Neely";""
"51340694";"Tyler Hanes";""
"6424809";"Hank Harris";"stub"
"5602408";"James Badge Dale";"start"
"6595497";"J. G. Hertzler";"C/C/C/C/C/C/C/-"
"6956838";"Luke Benward";"Stub/-"
"31306059";"Tyler Jacob Moore";"Stub"
"5901365";"Gavin Creel";"Stub/Stub/Stub/Stub"
"28573797";"Ian Harding";"Stub"
"6489257";"Michael Beach";"Stub/"
"44246847";"Louis Hobson";"start/-/start"
