"4510915";"Fred G. Aandahl";"Start/Start/start/start"
"26614924";"Catherine M. Abate";"Stub/Stub"
"21102714";"Watkins Abbitt Jr.";"stub/stub"
"7042898";"Clarence Dill";"Start/Start/start"
"11652600";"Enoch L. Johnson";"start/Start/start/Start/-"
"7070317";"Jesse Brown";"stub/Stub /Stub/B"
"43048521";"Charles Robert Borchers";"Start"
"7028671";"Mike Monroney";"Start/C/C/C"
"19289353";"Don Davis (politician)";"Start/ "
"38627545";"Ransom M. Callicott";"Start/Start/Start/Start"
"12364171";"Meyer Jacobstein";"start/start/start"
"6686137";"J. William Ditter";"start/start"
"66239";"James Eastland";"start/start/start/"
"52393368";"Donal C. Fox";""
"52390818";"Leonard G. Muse";""
"18821228";"Jeanne Dorsey Mandel";"Stub/Stub "
"2830327";"Walt Brown";"start/Start/start/start"
"1239499";"Beverly Briley";"Stub/Stub/stub"
"12075975";"Dan Daniel (politician)";"start/start/start"
"9361289";"Ashton J. Mouton";"start/start "
"8639921";"Joshua B. Lee";"start/start/start"
"6803137";"Henry Cabot Lodge";"start/start/start"
"52383235";"Victorine Q. Adams";"Start"
"33544330";"George A. Mayer";"stub/stub/stub"
"5326004";"Albert E. Carter";"Stub/Stub/Stub/Stub"
"25678819";"Jesse James (treasurer)";"Stub/Stub"
"29291294";"Allen J. Bartunek";"Stub/-"
"36369272";"Alice Merrill Horne";""
"42871288";"Betty Adkins";"stub/stub"
"6381633";"Oscar F. Holcombe";"Start/start/start"
"13991051";"Frank A. Mathews Jr.";"Start/Start/start/start/Start"
"4670177";"Francis Cockrell";"start/start/start/start"
"1627725";"Geraldine Ferraro";"GA /GA /GA /GA /GA /GA /GA /-/-"
"37033802";"Robert Williams Daniel";"Start/Start"
"29499221";"John W. Holtzman";"stub/stub"
"16250047";"Arthur F. Foran";"Stub/Stub/Stub"
"26214530";"Jim Kenney";"start/start/start/start/-"
"36324792";"Asa S. Bloomer";"Stub/stub"
"7066801";"Jack Daniels (politician)";"Start"
"143818";"Tom McCall";"C/C/c/C"
"2323155";"Charlie Crist";"B /B/ /B /B /B /B/B/B"
"39126657";"Merrill P. Barber";"stub/stub/stub"
"11903705";"John C. Kluczynski";"Start /start/start/start"
"11948135";"John J. Cochran";"start/start/start"
"46292724";"Donald A. Campbell";""
"49333584";"Charles M. Finley";"Start/start/start"
"14478302";"James L. McConaughy";"Start/Start/Start"
"6407565";"Enid Greene Mickelsen";"start/start/start/-"
"52384709";"Elmer Hyppa";""
"52394284";"Glen Jones";""
"15274541";"Patrick T. Caffery";"start/start/start"
"6920055";"Walter B. Jones Sr.";"start/Start/start/-"
"3147490";"George Murphy";"start/Start/Start/-"
"17295849";"John P. Lomenzo";"start/Start"
"11904822";"Winfield K. Denton";"start/start/start"
"25715768";"Barry Alderette";"Stub/Stub"
"3649827";"Ernest Gruening";"start/start/start/-"
"7099729";"Lawrence J. Connery";"Start/start/Start/start"
"6540936";"Jim Clark (sheriff)";"start/start/Start/-"
"4488898";"Moses Alexander";"start/Start/-"
"2258761";"Hugh Quincy Alexander";"start/start/start"
"6853920";"Winton M. Blount";"start/start/start/start"
"101556";"Hillary Clinton";"FA/-/-/-/-/-/-/-/-/-/-/FA/-/-"
"44628777";"Roy McKittrick";"Stub/Stub "
"47731215";"George H. Ittleman";""
"52368396";"Patrick D. McGee";""
"11673711";"Richmond Flowers Sr.";"start/start"
"5459419";"Paul Fannin";"Start/start/Start"
"11898277";"Albert W. Cretella";"start/??/Start"
"51709033";"William D. Blanks";"stub/stub/stub/stub"
"33950478";"George M. Borg";"Stub /Stub /Stub /Stub "
"44111179";"Samuel Bonom";""
"7051714";"Edward A. Kelly";"Stub/Stub /Stub /stub"
"42473127";"W. K. Ingram";"Stub/Stub"
"546716";"Fritz Hollings";"C/C/C/-"
"12273611";"James C. Inzer";"Stub/Stub"
"32458224";"Walter E. Lawrence";"start/start"
"9814812";"Andrea Mead Lawrence";"C/C/C/C"
"30997725";"Max E. Binner";"stub/stub/stub"
"20357838";"Mary Brooks";"C /C "
"36411405";"Donald D. Lorenzen";""
"6510114";"Wendell H. Meade";"start/start/Start"
"2498934";"Marsha Blackburn";"start /start/start /start/start/-/-/-"
"6694180";"Mills Godwin";"Start/C/Start"
"42187455";"Wiley F. Cox";"stub"
"9797120";"Fletcher Hale";"stub/Stub/stub"
"9167186";"Bill Hollenback";"Start/Start/C/Start/Start/Start/Start/Start"
"28081691";"Edgar Paul Boyko";"Start/start"
"41983969";"Jacob P. Nathanson";"stub"
"27989452";"José Menéndez Monroig";"Stub/Stub"
"23682735";"A. Leroy Aylmer";"Stub"
"48447668";"Will Nicholson";"stub"
"6412604";"Frank P. Lashlee";"Start/start"
"6725176";"Hamilton C. Horton Jr.";"Stub/stub"
"13990985";"Charles R. Howell";"start/Start/start/start"
"7077187";"Ernest S. Clements";"start"
"6316673";"Frank Horton (New York politician)";"start/start/start/Start"
"6646448";"Henry Alexander Baldwin";"C/C/C /-"
"6325542";"Robert Hayes Gore";"start/start/Start/-"
"25717675";"William Bachman";"Stub/Stub"
"52509536";"Fred A. Adams";"Stub"
"42507702";"Gladys E. Banks";""
"4491637";"Harry Lane Englebright";"stub/Stub/Stub"
"4693911";"Lucius D. Clay";"-/Start/start/C"
"12345500";"Luis Negrón López";"Stub"
"4755223";"Holt Coffey";"stub/Stub"
"13364307";"Edward Everett Holland";"start/-/-"
"6424201";"H. Guy Hunt";"Start/Start/start "
"10730701";"Martin Grove Brumbaugh";"Stub/stub/Stub/Stub"
"19202801";"Vincent J. Murphy";"stub/stub"
"19939996";"John A. Campbell (lumber executive)";"Start/Start"
"47310538";"Rollo C. Lawrence";"C"
"37764969";"Joseph Czerwinski";"stub/stub"
"39941917";"John Elton Coon";"start/start"
"6437154";"James Day Hodgson";"Start/Start/Start/Start"
"29098180";"Virginia Aveni";"Stub/stub"
"10255329";"Pat Cannon";"Start/start"
"3355739";"Donald ""Buz"" Lukens";"start/start/Start/-"
"11898654";"Chester O. Carrier";"start/start/start"
"30585368";"Emmett T. Anderson";"Stub/Stub"
"5240388";"Linda Lingle";"Start/Start/Start/Start/Start/start"
"11877800";"Laurie C. Battle";"start/start/Start"
"21477199";"Doran Isackson";"Stub/start"
"666899";"Ezra Taft Benson";"B/b/B/B/-/-"
"35877340";"Thomas H. D. Mahoney";"start/start "
"23261344";"E. D. Gleason";"C/C"
"25368675";"D. Elmer Hawbaker";"stub/stub"
"6451749";"John M. Murphy";"Start/start/start"
"30585086";"W. Lon Johnson";"Stub/Stub"
"52509561";"Richmond C. Hathorn";""
"25492381";"Ping Duenas";"/Start "
"15254431";"John F. Cosgrove";"stub/Stub/stub"
"27859401";"James E. Finnegan";"Stub/Stub"
"42369922";"Keith Brown (pole vaulter)";"C"
"25716668";"Roland Greenfield";"Stub/Stub"
"1040675";"Tom Laughlin";"B/B/B/B/B/B"
"11137174";"Louis L. Collins";"stub/Stub"
"7572029";"Ron Dunin";"Stub/stub"
"45465973";"Leroy Litscher";"stub/stub"
"39682132";"Ralph Norman Bauer";"Start"
"4905357";"Burton M. Cross";"Start/start"
"11899095";"Frank C. Kniffin";"stub/Stub/stub"
"13513193";"O. H. Haynes Jr.";"Stub/Stub/Stub"
"7156706";"Samuel L. Devine";"start/Start/Start"
"472450";"Barry Goldwater";"B/B/B/B/B/B/-"
"20393430";"Ed Karst";"Start"
"8085673";"Raymond Joseph Cannon";"start/start"
"53031370";"Fernand Mouton";"? /Start "
"1030942";"Barbara Boxer";"B/B/B/B/B/-"
"6653152";"Tommy Byrne (baseball)";"Start/Start/Start/Start/start/Start"
"45007111";"Richard H. Newhouse Jr.";"stub/stub/stub/stub"
"7787582";"James J. Heffernan";"stub/stub/stub"
"25715813";"Charles Logue (politician)";"Stub/stub"
"7569271";"Victor A. Miller";" Stub/Stub/-"
"39199859";"Thomas E. Keane";"Stub/Stub"
"52393996";"William S. Day";"Stub"
"6418789";"George V. Hansen";"stub/Stub"
"25585556";"Kilmer B. Corbin";"Stub"
"497360";"Jim Jeffords";"start /Start /start/-"
"12729098";"Victor A. Knox";"start/Start/start"
"12951545";"Ogden L. Mills";"start/start/Start/Start"
"30636895";"Cecil L. Collins";"Stub/Stub"
"29963758";"Bill McAfee";"C/C/C/C"
"5458903";"Robert S. Kerr";"start/c/start/start"
"6657365";"James G. Fulton";"start/start/start/Start"
"6712078";"Ernani Bernardi";"stub/Stub"
"39803923";"L. Stewart Hinckley";"Stub/stub"
"26909952";"William Leroy LaFollette Jr.";"start/Start"
"48504040";"John E. Johnson";"stub/stub/stub"
"7064566";"Chester Bowles";"start/Start/Start/start"
"6928843";"John S. Monagan";"start/Start/start/start"
"52391608";"J. Edward Caldwell";"Stub"
"11900054";"Joseph F. Holt";"start/Start/start"
"10712129";"Thomas S. McMillan";"Start/Start/Start"
"41426185";"A. Spencer Feld";"stub"
"13827452";"Don Hummel";"Stub/Stub"
"5449738";"Jane Dee Hull";"start/start/start/start"
"49580718";"Jack Bangerter";"stub/stub"
"25717647";"William Claypoole";"Stub/stub"
"45306610";"Zeke Martin";"C/C/C"
"34345008";"Rankin Fite";"start/start"
"3650391";"Waino Hendrickson";"Stub/start"
"6686228";"John W. Murphy";"Stub /Stub /Stub /Stub/Stub "
"25716637";"Robert Geisler";"Stub/Stub"
"10394874";"Henry George Jr.";"stub/stub"
"11902457";"Dawson Mathis";"start/start/start"
"47760765";"Charlotte Giesen";"start/start/start"
"7065615";"Clarence D. Martin";"C/C"
"36410925";"Dempsey J. Barron";"Stub"
"4044250";"Alveda King";"c/c/c/c//-"
"26634088";"Jay R. Benton";"Stub/stub"
"12728310";"Tom J. Murray";"start/Start/start"
"2496370";"Howard Buffett";"start/start/Start/start/start"
"20471066";"William Raleigh Hull Jr.";"stub/stub/Stub"
"41404815";"Lew Murphy";"start/start<!-- B-Class 5-criteria checklist -->/start"
"38606776";"James Allen (U.S. Senator)";""
"41390867";"Francis William Billado";"Start/start"
"9744224";"Robert Duax";"C/C/C/C/C/-"
"1510061";"Andrew Card";"B/B/B/B/-"
"11947464";"C. Jasper Bell";"start/start/start"
"7555674";"Harley E. Knox";"Stub/stub"
"12319579";"John Robert Brown (Virginia politician)";"stub/stub/Stub/-"
"27174976";"Arthur J. Frawley";"Stub/Stub"
"7557283";"Cliff Clevenger";"Stub/Stub"
"21131622";"Robert F. Kennedy";"C/C/C/C/C/C/C/-"
"6400258";"Robert Gammage";"Start/Start/Start"
"33595526";"Gordon A. Bubolz";"Stub /stub/stub"
"17280627";"Thomas J. Curran";"start/start"
"11902326";"William Ward Johnson";"start/Start/start"
"46710163";"William H. Barnes (Wisconsin)";"Stub /Stub/Stub"
"6026341";"John Faso";"Start/Start/start/start/-/-/-"
"7028667";"A. Ronald Button";"stub/Stub"
"7062581";"Charles E. Collins";"start/stub/-"
"9011102";"Ron Brown (U.S. politician)";"Start/Start /Start/-"
"38156337";"Dave Edwards (Wyoming politician)";"stub/stub"
"11792269";"Daniel S. Earhart";"start/Start/Start"
"11898316";"Syd Herlong";"start/start/start/start/-"
"11904412";"David Hogg (American politician)";"start/start/start"
"12158333";"Orville W. Hagen";"Stub/stub"
"6697504";"James A. Noe";"Start/start"
"5368615";"Craig Hosmer";"Stub/Stub/Stub/Stub/start"
"40174294";"John M. Goodloe";"stub/stub/stub/stub"
"21021477";"John Warren Cooke";"Start/start"
"9371171";"Elmer Litchfield";"Start/Start "
"1090157";"John Duncan Sr.";"start/start/start"
"12317912";"John E. Miles";"start/start/Start"
"8644197";"Orrice Abram Murdock Jr.";"Stub/stub/Stub"
"27579878";"Marion Crecco";"Start/"
"45555752";"Henry W. Hupfauf";"stub/stub"
"11902188";"William M. Citron";"start/start/start"
"7161319";"Thomas H. Eliot";"Stub/Stub"
"28016185";"Adolfo L. Monserrate Anselmi";"start/Start"
"31342626";"Virginia Klinekole";"Start/Start/Start/start"
"2669360";"James Clark McReynolds";"B/B/B/B/-/-/-/-"
"7053590";"Alfred F. Beiter";"start/start/Start"
"36433895";"John Cashmore";"Stub"
"14303126";"James H. Morrison";"start/Start/Start"
"7024206";"Jay W. Johnson";"Stub/Stub/stub/stub/stub/stub"
"25715840";"Connie McHugh";"Stub/stub"
