"42874058";"Chuck Norris (politician)";"Stub/Stub"
"41775833";"Robert O. Norris Jr.";"stub"
"46575497";"A. B. Franklin";"Start/start/start"
"51863087";"John Barker (Kansas politician)";"Stub"
"9389995";"John A. Scali";"Stub/stub/Stub"
"39760034";"George Peddy";""
"4670104";"Robert A. Young";"start/start/start/start"
"39569596";"Halsey Beshears";"Start"
"7066668";"J. William Stanton";"stub/stub/Stub"
"6889788";"Andrew C. Brock";"start/start"
"46497987";"Ken Ferguson (politician)";""
"46399069";"Lance Eads";""
"24965896";"Kent Eken";"Stub/stub/stub"
"17898467";"Robert Behning";"Stub/Stub"
"53338359";"Clay Cox";""
"53686321";"Marshall L. Shepard";"GA/GA/GA/GA/GA"
"10354040";"Roland Burris";"C/C/C/C/C/-"
"34978003";"Andre Barnett";"start/Start/Start"
"7167429";"William H. Woodin";"Start/start"
"6891176";"Charlie Smith Dannelly";"Stub/stub"
"46575602";"Toby Barker";"stub/stub"
"22637766";"Ellen Anderson";"start/start"
"7072278";"John Fritchey";"C/C/C"
"39536504";"John Forbes (Iowa politician)";"stub/stub"
"14799865";"Thomas C. Alexander";"Stub/Stub"
"41929228";"Donna Boley";"Stub"
"45250905";"Josephine Oblinger";"stub/stub/stub"
"7170534";"William Fitts Ryan";"start/start/Start"
"38578572";"Doug Coleman";" start /start"
"6448051";"Joanne W. Bowie";"Stub/stub"
"9847520";"Arnold Olsen";"start/Start/start"
"54497636";"John Connor (Illinois politician)";"stub/stub"
"42364736";"Charles Allen (D.C. politician)";"Start"
"6452276";"John Rarick";"Start/start/start/start"
"7155258";"Robert E. Pattison";"start/start/start/start/start"
"10898901";"D. Page Elmore";"Stub/stub"
"20379376";"Cas Walker";"Start/start/-"
"52898574";"Cal Bahr";""
"16758226";"Joe D. Smith Jr.";"-"
"1043484";"Wendell Willkie";"FA/FA/FA/FA"
"20363764";"Joseph H. Wickham";"start/start"
"4535919";"Paul Ryan";"C/C/C/C/C/C/C/-"
"4541231";"Homer Thornberry";"start/start/start/Start"
"7079586";"Francis E. Walter";"start/start/start/start"
"27218754";"John Domenick";"Stub"
"41595130";"Perry Buck";" stub / stub "
"7054986";"Frank Chopp";"Start/start/-"
"4634792";"Pat Owens";"Stub/stub"
"6411404";"Francis J. Blee";"Start/start"
"10272767";"John C. D'Amico";"start/start /start "
"12767485";"Corinne Boyd Riley";"start/"
"20678474";"Shaun Donovan";"Start /Start"
"25368899";"John Van Sant";"stub/stub"
"35272083";"Stephen Durham";"stub/stub/Start/Start/stub"
"99632";"Terry Branstad";"Start/Start/start/start/-"
"25849553";"Glenn A. Donnelson";"Stub/Stub"
"5459291";"Sidney Preston Osborn";"Stub/Stub"
"6659323";"Joseph Marmaduke Pratt";"start/start/start/Start"
"25213398";"John Plewa";"stub/stub"
"54519674";"Daneya Esgar";"stub/stub/stub"
