"41189997";"Beth Fukumoto";"Start /Start /Start /Start /Start"
"4708592";"Steven Fulop";"B/C/C/-"
"46576951";"Larry Luick";""
"31432737";"Alejandro García Padilla";"C/C/C/-"
"44352465";"John Macco";"stub/stub"
"53962519";"Mary Brigid Matheney";"Stub/Stub /Stub /Stub /Stub /Stub "
"44309379";"Tina Smith";"-/Start/ start "
"42338869";"Joyce Maker";"stub"
"25283293";"Steve Simon";"Stub/stub"
"39559752";"Brandon Phelps";""
"16933202";"Mike Phillips (Montana politician)";"Stub/Stub"
"15265633";"Michael Machado";"start/start/start"
"9961564";"Kevin Lundberg";"start"
"23048545";"Charles Poindexter";"Stub/-"
"50569611";"Dan Pope";"stub/stub"
"43817808";"Tim Harman";"Stub/Stub"
"35106217";"Jeff Smith (Mississippi politician)";"start/Start"
"29655647";"Richard J. Ross";"stub/stub"
"10752969";"Sheila Harsdorf";"Start/Start"
"46577196";"Delus Johnson";"Stub"
"24986563";"Donald Norcross";"start/start/start"
"46772222";"Trent Kelly";"start/start/-"
"35651411";"Lance Gooden";"stub/stub"
"6283520";"Adrian Smith (politician)";"c/B/C"
"16650614";"Matt Pierce";"Stub/Stub"
"23699547";"Tim Kapucian";"Stub/stub"
"39153454";"Carrie Ruud";"Stub /Stub /Stub/Stub "
"44062955";"Bill Harrison (politician)";"stub"
"36404571";"Brian K. Savage";""
"36503105";"Carol Owens (politician)";"stub/stub"
"30948905";"Roger Rivard";"C/C/-"
"6323079";"Bill Lippert";"Stub/stub/stub/stub/-"
"39177457";"Sheila Harrington";"stub/Stub"
"41367962";"Kim Hammer";"C"
"23049728";"R. C. Pruett";"Stub/stub"
"21992405";"Deberah Kula";"Stub/Stub"
"41431852";"David Ober";"stub/stub"
"47049024";"Steve Hambley";""
"35866441";"Valarie Hodges";"Start/start/-"
"4938934";"John Oxendine";"start/start"
"5768183";"Lucille Roybal-Allard";"start/start/start/Start/Start/-"
"35557023";"Tracy King";"start/Start"
"33505787";"Chris Rector";"Stub/Stub/Stub"
"33575243";"Michele Smith (politician)";"stub/stub/-/stub"
"42313144";"Themis Klarides";"stub"
"40466056";"Leslie Osterman";"C"
"16919140";"Scott Saiki";"Stub/Stub"
"30510197";"Kelly M. Schulz";"start/start"
"40994113";"Monty Mason";"Stub/Stub"
"6545829";"Reed Gusciora";"Start/start/-/-"
"6611563";"Rick Merkt";" /Stub/stub"
"25369081";"Marguerite Quinn";"stub/stub"
"41436897";"Jessica Haak";"stub"
"22002762";"Carol Liu";"Stub"
"37846723";"Lolo Matalasi Moliga";"/Start/start"
"7103453";"Gordon M. Johnson";"Start/start/start"
"42459192";"Mike Green (West Virginia politician)";" stub / Stub"
"39477939";"Bill Hightower";"stub"
"39113727";"Michael Moran (Massachusetts politician)";"stub/Stub"
"44307450";"Brad Schimel";"Start/start"
