"21203572";"Bob Tata";"Start/Start/Start"
"27218147";"Horacena Tate";"stub"
"34320875";"Isaac W. Bishop";"Start/stub"
"6676930";"John Dawson (1762–1814)";"start/Start/Start"
"43499165";"Daniel Hay";"start/start/start/start"
"83607";"James Monroe";"-/C/-/C/Start /start/C/C/-"
"11948773";"William Van Ness Bay";"stub/stub/stub"
"23075089";"Armando Walle";"/"
"10618196";"Samuel Ward (American statesman)";"b/b/b"
"7100443";"George Bragg Fielder";"stub/Stub"
"11909622";"Stanley E. Bowdle";"start/Start/start"
"7048993";"Dennis Hammond";"Stub/Stub"
"7101706";"George S. Boutwell";"B/B/B/B/-"
"10514864";"Daniel Coleman DeJarnette Sr.";"stub/stub/stub"
"11948432";"Robert Washington Fyan";"start/start/start/start"
"12157192";"James H. Davidson";"start/start/start"
"9165023";"Jon Woods";"/-"
"6048166";"Norman Jay Coleman";"start/start/start"
"11906237";"Wallace T. Foote Jr.";"stub/stub/stub"
"11904290";"Willis Allen";"start/Start/start"
"11904835";"Abner Hazeltine";"start/start/start"
"8308580";"La Fayette Grover";"Start/Start/Start/start"
"6676707";"Lemuel J. Bowden";"Start/Start/Start/-"
"11907280";"Francis A. Cunningham";"stub/Stub/stub"
"6066624";"Thomas Willing";"Start/start/start"
"40849137";"Thomas Evans (Wisconsin)";"Stub/Stub/Stub"
"46278196";"Paul Tucker (politician)";"Stub"
"35814125";"Pamela Case Hale";"start/start"
"13274705";"John M. Faison";"stub/Stub/stub"
"39788883";"Alfred Louis Bush";"Stub/stub"
"47786221";"George Henry Carson";"Start"
"11907124";"Charles Elwood Brown";"start/Start/start"
"3114631";"John Peter Altgeld";"C/C/C /C/-"
"11907303";"George H. Busby";"stub/Stub/stub"
"13680900";"Rufus K. Goodenow";"stub"
"13145895";"Edward S. Bragg";"start/Start/Start/start/C"
"10731491";"Mitchell Cary Alford";"start/start"
"47250858";"Lucius Allen (politician)";"Stub/stub"
"20727850";"Leonardo Cota";"Start"
"35091965";"Seth Barton (attorney)";"Start/Start"
"10698054";"Samuel G. Arnold";"start/Start/start/start"
"6143539";"Hamilton Fish";"GA /GA /GA /GA /GA"
"34653918";"Keisha Waites";"start/start/start "
"27175224";"Bryan C. Williams";"Stub/Stub"
"17430957";"Charles H. DuPont";"Stub/stub "
"6889665";"Alex Warner";"Stub/stub"
"28492412";"John Charles Groome (secretary of state)";"Stub/Stub"
"7054163";"William Taylor Adams";"Stub/stub"
"29828128";"Teresa Tomlinson";"-/stub/stub"
"20572959";"Harlan Page Davidson";"C"
"27117710";"George W. Armstrong";"Stub/ stub "
"6193916";"John B. Floyd";"B/B/Start/Start"
"16932904";"Jonathan Windy Boy";"Start/Start/Start"
"46595107";"Moses Bull";"Stub"
"6044980";"Philemon Bliss";"Start /start/Start /Start/start/Start /Start "
"8336785";"Napoleon Bonaparte Brown";"B/B/B/B"
"38863701";"George Blackmore Guild";"stub /stub /Stub"
"5722127";"John Mills Allen";"Stub/stub"
"37763249";"Auguste Davezac";"start/start/start/start"
"21813425";"Fletcher Mathews Haight";"start/Start"
"13941787";"Oran Faville";"stub/Stub"
"10705890";"William T. Haskell";"start/start/start"
"10696434";"Richard Potts";"start/start/start"
"10662488";"John T. Bergen";"start/start/Start"
"10512529";"Augustus Drum";"Stub/Stub/stub/stub"
"14684882";"Jill Vogel";"Stub/Stub"
"54234838";"A. W. Blair";"stub/stub/stub"
"46929720";"Carl H. Dorner";"Stub /Stub/stub"
"10703230";"William Creighton Jr.";"C /C /C /C"
"11905351";"John F. Collin";"stub/stub/stub"
"10341954";"Patricia Torres Ray";"Start /Start /Start /Start/Start "
"7070143";"Jeremiah Wadsworth";"Stub/stub/stub"
"12735351";"Roderick R. Butler";"C/C/C"
"49899405";"Gilbert Villegas";""
"19203782";"James Blood";"stub/stub/stub"
"36677741";"Henry C. Bulis";"stub/stub/stub"
"36694338";"Warren S. Dungan";"stub/stub/stub"
"4393062";"Philip Schuyler";"-/-/start/start/start"
"77351";"Patrick Henry";"B/B/B/B"
"6950165";"William Maclay Awl";"Start/Start/Start/Start/start"
"9844432";"Michael G. Waddoups";"stub/Stub"
"5781918";"Mark Udall";"C/C/start/C/-/-"
"31582634";"Becky Weber";"stub/stub"
"11905321";"Jeremiah W. Dwight";"start/start/start"
"10080965";"Nathan F. Dixon III";"Stub"
"14517514";"Samuel Fowler (1851–1919)";"start/start/start"
"18257687";"George Denison";""
"10704057";"William Harrison Dimmick";"stub/Stub/Stub"
"11900863";"Thomas H. Averett";"stub/stub/stub"
"8641311";"Edward Junius Black";"stub/stub"
"11898448";"Brutus J. Clay";"start/start/start"
"42066591";"Luther A. Cole";"stub/stub/stub"
"15858154";"Lois Wolk";"start/start/start/Start/Start"
"48814751";"John Fellenz";"Stub /Stub/stub"
"41992306";"David Giddings";"stub/stub"
"12156888";"Patrick C. Caldwell";"stub/stub/stub"
"15892076";"James C. Hawthorne";"start/start/Start/Start"
"11899196";"George M. Brooks";"stub/Stub/stub"
"7161704";"Thomas W. Cobb";"stub/Stub"
"6021453";"Andrew Briscoe";"Stub/Stub/-"
"7068756";"David Gelston";"Start/start/-"
"35176427";"Henry C. Allen (Virginia politician)";"Stub/stub "
"5174320";"Joseph Halsey Crane";"start/Start/Start"
"1520986";"John Dickinson";"B/B/ B/B/B/-"
"7633370";"George Washington Fleeger";"start/start/Start"
"11919505";"George W. Croft";"stub /Stub /stub /Stub"
"16997842";"Joel T. Headley";"Stub/Start"
"26566034";"Joseph Blunt";"Start/Start"
"41690878";"Sands Gayle";"stub/stub/stub/stub"
"15919817";"Jake Wheatley";"Start/start/start"
"4902276";"Mark Taylor (American politician)";"start/start/-"
"6744078";"Cristobal Aguilar";"start/Start"
"20710826";"Augustus Albert Hardenbergh";"start/start/start"
"11905146";"Henry C. Goodwin";"stub/stub/stub"
"41604562";"Dick Werner";" stub / Stub / Stub"
"27175602";"Daniel W. Grubbs";"Stub/Stub"
"33704341";"Nathaniel H. Felt";"stub/stub/stub"
"29587922";"Mike Tobash";"stub"
"8266187";"Thomas Hartley Crawford";"start/start/Stub"
"39789033";"John T. Campbell";"Stub/stub"
"8032430";"Joseph Buffington (congressman)";"start/start"
"10668700";"Lawrence Brainerd";"Start/start/Start /start"
"7032594";"Allen C. Beach";"Start/start"
"23088501";"James N. Adam";"stub/stub"
"6296838";"Ann Wagner";"Start/Start/start/Start/start"
"11919347";"Shepard Cary";"stub/stub/stub"
"20742359";"William Davidson (Pennsylvania representative)";"stub/stub"
"46577153";"Seth Whipper";""
"2123741";"George Q. Cannon";"start/start/start/Start/start"
"10513158";"Bradley F. Granger";"start/start/Start"
"33940923";"Doc Adams";"FA/FA/FA"
"6046920";"Lewis V. Bogy";"stub/stub/stub"
"37217895";"John Cubbins";"Stub/stub"
"11853220";"Eli Metcalfe Bruce";"start /start "
"6048779";"Thomas Ewing Jr.";"start/start/Start/start/start/start"
"30491267";"Isaac Davis (lawyer)";"Stub /stub /-"
"21435658";"Isaac D. Barnard";"start/start/start"
"11907324";"Gibson Atherton";"start/Start/start"
"52543753";"Levi Newton Breed";""
"11883367";"James H. Dooley";"Start/C/start"
"7787874";"James Mitchell Ashley";"Start/start/start/start"
"32758631";"Adrian Wyllie";"/start/C"
"13991096";"Peter Bentley Sr.";"stub/Stub"
"15779111";"William W. Chapman";"GA /GA/GA /GA/GA/Ga"
"11905018";"Edward W. Greenman";"start/start/start"
"20726367";"Joseph Lemuel Chester";"Start/stub/stub/stub/stub/stub/stub/stub"
"7072016";"John Davis (Massachusetts governor)";"GA/GA/GA"
"47360654";"James T. Brady";"GA/GA/GA/GA"
"25382475";"John Crawford (Wisconsin politician)";"stub/Start"
"35049679";"John P. Beekman";"Stub/Stub"
"15042911";"T. Raymond Warren";"stub/Stub"
"11909834";"John Chaney (congressman)";"start/Start/start"
"13069593";"Ephraim Wales Bull";"Stub/stub/stub"
"10684253";"Abram Fulkerson";"C/C/C/C/C"
"52542560";"John Beard (politician)";"Start"
"34540190";"Francis Baasen";"stub/stub/stub"
"20757093";"Francis A. Chenoweth";"start/ start/C"
"51398589";"Blonnie R. Watson";"Stub"
"47946159";"Eugene L. Demers";""
"6597261";"D. Wyatt Aiken";"start/C/C/C/-"
"10662624";"John W. Crisfield";"start/start/Start"
"11904839";"Abraham P. Grant";"stub/stub/stub"
"34872251";"Alexander Hamilton (Maryland doctor)";"start/start/start/start/start/start"
"11904782";"Thomas R. Cobb";"start/start/start"
"10229594";"Matt Windschitl";"start/start"
"6323337";"Bill Van Auken";"Stub/Stub"
"12317811";"John DeWitt Clinton Atkins";"start//start/start"
"47348305";"Jerry Willey";"Stub/Stub"
"11905477";"Lloyd Bryce";"start/start/start"
"12075925";"John C. Gray";"stub/stub/stub"
"11905116";"Gideon Hard";"stub/stub/stub"
"7066020";"Isaac R. Harrington";"Stub/Stub"
"6915914";"Stephen Hopkins (politician)";"GA/GA/-/-"
"11907076";"Benjamin Eggleston";"start/Start/start"
"26616955";"Samuel B. Garvin";"start/start"
"20100832";"Harry Teague";"-/-/stub"
"31590308";"David Ward (Wisconsin politician)";"stub/stub"
"13718422";"Katherine Waddell";"Stub/Stub"
"30025327";"Thomas Chandler (New Hampshire politician)";"stub/stub/Stub"
"49190838";"Brice Wiggins";"stub/stub/stub"
"23698570";"Noyes Billings";"Stub"
"12607257";"Nathan F. Dixon II";"Stub"
"36562542";"Thomas A. Gardiner";"Stub/Stub"
"36423820";"John Wallace Crawford";"B//-"
"4670099";"John Bull (congressman)";"Stub/stub/stub"
"20988175";"William White Clark";"stub"
"8266185";"James Harper (congressman)";"Stub/stub/Stub/start"
"33826217";"John R. Baltzell";"stub/stub"
"38723780";"Joseph Ackroyd";"Stub/Stub"
"46255139";"William Arnemann";"stub/stub"
"10662755";"John Wesley Crockett";"start/Start/start"
"49611066";"Samuel Hackleton";"stub/stub/stub/stub"
