"48000824";"Horatio G. Herrick";"Start/start"
"11905587";"Richard P. Herrick";"stub/stub/stub"
"11909606";"Samuel Herrick (politician)";"start/Start/start"
"20726813";"Samuel B. Ruggles";"start/start"
"17014500";"James Fount Tillman";"stub/stub"
"11910706";"Gilchrist Porter";"stub/stub/stub"
"11903087";"James Thorington";"start/start/start"
"43831558";"John Mills Pearson";"start/start/start"
"7072032";"Edmund William McGregor Mackey";"start/start/Start"
"11902905";"Adoniram J. Holmes";"Start/start/start/start/start"
"11904826";"Aaron Vanderpoel";"start/start/start"
"354537";"Henry Wilson";"GA/GA/GA/GA/GA"
"22811725";"John Dunlap Stevenson";"Stub/Stub<!-- B-Class 5-criteria checklist --><!-- B-Class-1. It is suitably referenced, and all major points have appropriate inline citations. -->"
"8120948";"Thomas Moonlight";"start/Start/start"
"18351899";"Benjamin Welch Jr.";"stub/Stub"
"40817100";"Clinton McKamy Winkler";"Start/Start/Start "
"11898346";"Anthony A.C. Rogers";"start/Start/start"
"10695399";"Pierre Van Cortlandt Jr.";"start/start/start"
"7048378";"David S. Walker";"Start/Start/Start"
"6920375";"William H. Murfree";"Stub/stub"
"43645729";"James M. Northup";""
"37868604";"Jacob W. Hoysradt";"Stub/Stub"
"6676700";"Isaac S. Pennybacker";"Start /Start /Start/Start "
"20730882";"Robert Moorman";""
"15038585";"John Coffin Jones Jr.";"stub/stub"
"11804798";"Henry Williams (Massachusetts)";"stub/Stub/stub"
"7784086";"Hiram McCullough";"stub/Stub/stub"
"7077243";"John Wilkins Whitfield";"Stub/stub/Stub/Stub/stub/stub"
"26591037";"Lorenzo B. Shepard";"start/start"
"11468953";"Asa Hodges";"start/Start/Start"
"7787627";"James K. Moorhead";"start/start/Start/start"
"6193970";"Thomas C. McCreery";"stub/Stub/stub"
"7033090";"Amos Kendall";"Start/Start/Start"
"20708283";"Henry H. Holt";"Stub/stub "
"11898325";"Alexander Randall (Maryland)";"C/C/C"
"7506439";"John P. Slough";"Start/C/start"
"12319670";"John Sebastian Little";"start/Start/Start"
"11898921";"Edward A. Warren";"start/Start/start"
"11900084";"Joseph Richardson (U.S. politician)";"start/start/Start"
"10103452";"Frederick Miles";"Stub/Stub/stub"
"19361556";"John C. Jacobs";"Start/start/Start/start"
"39788969";"E. C. Tully";"Stub/stub"
"47256729";"Hezekiah C. Tilton";"stub/stub/stub"
"34325752";"Ebenezer Mack";"stub/Stub"
"36566900";"Gottlieb Wehrle";"stub/stub"
"11903091";"Jeremiah Henry Murphy";"start/start/start"
"21488281";"Joseph B. Palmer";"B<!-- B-Class 5-criteria checklist -->/B/B"
"7826483";"James ""Scotty"" Philip";"Start/Start"
"4491489";"Milton Latham";"Start/Start/Start/Stub"
"8266307";"Samuel Wells Morris";"start/start"
"12738334";"Samuel Pasco";"start/start/start /start"
"8179293";"Charles Ogle (politician)";"start/start/start/start"
"46595108";"John R. Kinnear";"Stub"
"13681225";"Cornelius Holland (politician)";"stub"
"10665149";"Ogden Hoffman";"start/Start/Start"
"36525003";"Leonard Sargeant";""
"52542593";"John Brownlee Robertson";""
"7072645";"John I. Mitchell";"stub/Stub/Stub"
"13364524";"William McComas";"stub/stub/stub/stub"
"32973247";"John F. Morse";"start/Start"
"8520566";"Abbott Lawrence";"start/start/start"
"9449547";"Cornelius Lawrence";"Stub/stub/stub/stub/stub"
"12736389";"Samuel M. Stephenson";"start/Start/start"
"52546541";"William Long (mayor)";""
"8031866";"William Henry Witte";"start/start/start"
"10673354";"Moses McClean";"stub/stub/Stub"
"38124840";"Peter Van Vliet";"stub/stub"
"42585908";"Solomon Southwick";"-"
"6676481";"Thomas Love Moore";"Stub/stub/Stub/Stub"
"7068479";"James L. Pugh";"Stub/Stub/Stub"
"12318726";"John J. Patterson";"Start/start/start/start/start"
"7078918";"Joseph F. Johnston";"Stub/Stub/Stub"
"12767468";"Guilford Wiley Wells";"start/Start"
"7156605";"Samuel B. H. Vance";"Stub"
"43434461";"Michael Waller Robinson";"start/start/start"
"34217000";"David M. Westcott";"stub/Stub"
"10515114";"David B. Mellish";"stub/stub/Stub"
"4491562";"Joseph W. McCorkle";"stub/stub/Stub"
"11909608";"Samuel Lahm";"start/Start/start"
"33874057";"James H. Woods";"Stub/stub"
"26754735";"Jabez L. Peck";"Stub/stub"
"11948199";"Leonard Henly Sims";"stub/stub/stub"
"7648885";"Edward Scull";"start/start/start/start/start"
"6696090";"Seaborn Jones";"stub/stub"
"18402323";"Edwin G. Waite";"-/stub"
"1244802";"Ridgley C. Powers";"stub/Stub/Stub"
"11877690";"Francis Strother Lyon";"start/Start/Start"
"10482110";"Alfred Marmaduke Hobby";"Start/Start/Start/start"
"11906806";"Charles St. John";"stub/stub/Stub/stub"
"11948489";"Samuel Locke Sawyer";"start/start/start/Start"
"7056761";"George V. N. Lothrop";"stub/Stub "
"52534290";"Frederick William Matthiessen";""
"12687125";"Ashbel Smith";"B/B/B"
"10661225";"John Klingensmith Jr.";"stub/Stub/stub"
"38008784";"Daniel O. Morton";"start/start"
"37571770";"Samuel Lewis (politician)";"stub/stub/stub"
"52083861";"William Burns Smith";"stub/Stub/Stub"
"11905031";"Elias Whitmore";"start/start/start/stub"
"39560298";"William H. Smith (Connecticut)";"stub/stub"
"11904925";"Charles B. Sedgwick";"stub/stub/stub/stub"
"7450769";"DeWitt Clinton Littlejohn";"start/start/start/start/start/start"
"11904781";"Thomas N. Stilwell";"stub/stub/stub"
"11906168";"Thomas J. Paterson";"Start/Start/Start"
"11137095";"Lyndon A. Smith";"start/start"
"49440621";"Reinhard Schlichting";"stub/stub"
"20731663";"John Curtiss Underwood";"C /C /C /C "
"12214745";"Robert B. Vance";"start/start/start/start"
"42308166";"Pliny Norcross";"stub/stub/stub"
"29920279";"Thomas R. Potts";"C/C/C/C/C"
"46259023";"Edgar Wilcox";"stub/stub"
"10647132";"George Washington Julian";"C/C/C/C"
"10646538";"DeWitt Webb";"Stub"
"32468936";"Nathaniel Wright";"start/stub"
"11910955";"Thomas M. Paschal";"start/start/Start"
"7068362";"James Houston Thomas";"stub/Stub/stub"
"13363939";"Aaron Shaw (representative)";"start/start/Start"
"13364444";"Arthur Smith (U.S. Representative)";"Stub/stub/Stub/stub"
"43798834";"John C. Smith (politician)";"Start/Start/Start/start/Start"
"11909695";"William F. Hunter";"stub/Stub/stub"
