"Vivien Leigh
","FA","[('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA}', '', 'FA', ''), ('class=FA}', '', 'FA', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', ''), ('class=""autosigned"">— Preceding [[Wikipedia:Signatures|', '""autosigned"">— Preceding [[Wikipedia:Signatures', '', '')]"
"Watching the River Flow
","FA","[('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', '')]"
"Princess Helena of the United Kingdom
","FA","[('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]"
"Satoru Iwata
","FA","[('class=FA}', '', 'FA', ''), ('class=""autosigned"">—&nbsp;Preceding [[Wikipedia:Signatures|', '""autosigned"">—&nbsp;Preceding [[Wikipedia:Signatures', '', ''), ('class=""autosigned"">—&nbsp;Preceding [[Wikipedia:Signatures|', '""autosigned"">—&nbsp;Preceding [[Wikipedia:Signatures', '', ''), ('class=""autosigned"">—&nbsp;Preceding [[Wikipedia:Signatures|', '""autosigned"">—&nbsp;Preceding [[Wikipedia:Signatures', '', ''), ('class=""autosigned"" style=""font-size:85%;"">—&nbsp;Preceding [[Wikipedia:Signatures|', '""autosigned"" style=""font-size:85%;"">—&nbsp;Preceding [[Wikipedia:Signatures', '', '')]"
"Ratanakiri Province
","FA","[('class=FA|', 'FA', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]"
"Brabham
","B","[('class=B|', 'B', '', ''), ('class=B|', 'B', '', ''), ('class=B|', 'B', '', ''), ('class=B|', 'B', '', ''), ('class=""autosigned"">— Preceding [[Wikipedia:Signatures|', '""autosigned"">— Preceding [[Wikipedia:Signatures', '', ''), ('class=""autosigned"">— Preceding [[Wikipedia:Signatures|', '""autosigned"">— Preceding [[Wikipedia:Signatures', '', ''), ('class=""wikitable""\n', '', '', '""wikitable""')]"
"No Line on the Horizon
","FA","[('class=FA |', 'FA ', '', ''), ('class=FA |', 'FA ', '', ''), ('class=FA |', 'FA ', '', ''), ('class=FA |', 'FA ', '', ''), ('class=FA |', 'FA ', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', ''), ('class=album|', 'album', '', ''), ('class=album|', 'album', '', ''), ('class=album|', 'album', '', ''), ('class=""autosigned"">—&nbsp;Preceding [[Wikipedia:Signatures|', '""autosigned"">—&nbsp;Preceding [[Wikipedia:Signatures', '', '')]"
"Richard Hakluyt
","FA","[('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]"
"Halo: Combat Evolved Anniversary
","FA","[('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA |', 'FA ', '', ''), ('class=FA|', 'FA', '', '')]"
"United Airlines Flight 93","FA","[('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', ''), ('class=FA|', 'FA', '', '')]"
