,actual_timestamp,past_timestamp,actual_access,past_access,actual_category,past_category,actual_raw_category,past_raw_category,actual_revision.anon,past_revision.anon,actual_revision.comment,past_revision.comment,actual_revision.commenthidden,past_revision.commenthidden,actual_revision.parentid,past_revision.parentid,actual_revision.revid,past_revision.revid,actual_revision.user,past_revision.user
0,2008-11-03T15:00:27Z,2008-12-09T21:43:01Z,2008-12-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,Reverted edits by [[Special:Contributions/213.6.94.75|213.6.94.75]] to last version by Epop fr ([[WP:HG|HG]]),related compounds should have a wiki article,,,249411771,256733594,249411792,256913977,Smalljim,V8rik
1,2008-10-08T20:43:02Z,2008-12-09T21:43:01Z,2008-11-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,- fchm,related compounds should have a wiki article,,,236301799,256733594,243984079,256913977,Epop fr,V8rik
2,2008-09-04T19:51:08Z,2008-12-09T21:43:01Z,2008-10-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,,related compounds should have a wiki article,,,233170974,256733594,236301799,256913977,Epop fr,V8rik
3,2008-08-20T19:39:36Z,2008-12-09T21:43:01Z,2008-09-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,"/* Safety */ data are plural, style",related compounds should have a wiki article,,,230579563,256733594,233170974,256913977,86.166.233.76,V8rik
4,2008-06-30T08:22:50Z,2008-12-09T21:43:01Z,2008-08-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,Reverted edits by [[Special:Contributions/145.19.1.220|145.19.1.220]] to last version by Rickjpelleg (using [[WP:HG|Huggle]]),related compounds should have a wiki article,,,222618863,256733594,222618879,256913977,Epbr123,V8rik
5,2008-06-30T08:22:50Z,2008-12-09T21:43:01Z,2008-07-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,Reverted edits by [[Special:Contributions/145.19.1.220|145.19.1.220]] to last version by Rickjpelleg (using [[WP:HG|Huggle]]),related compounds should have a wiki article,,,222618863,256733594,222618879,256913977,Epbr123,V8rik
6,2008-05-28T22:37:34Z,2008-12-09T21:43:01Z,2008-06-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,,related compounds should have a wiki article,,,215557916,256733594,215605019,256913977,99.247.62.9,V8rik
7,2008-03-07T21:53:41Z,2008-12-09T21:43:01Z,2008-05-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,rv v,related compounds should have a wiki article,,,196617300,256733594,196623196,256913977,148.177.1.218,V8rik
8,2008-03-07T21:53:41Z,2008-12-09T21:43:01Z,2008-04-01T00:00:00Z,2009-01-01T00:00:00Z,b,b,"[('class=B|', 'B', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,rv v,related compounds should have a wiki article,,,196617300,256733594,196623196,256913977,148.177.1.218,V8rik
9,2008-02-18T10:06:12Z,2008-12-09T21:43:01Z,2008-03-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,+de interwiki,related compounds should have a wiki article,,,192015204,256733594,192274129,256913977,Oxymoron83,V8rik
10,2008-01-12T09:03:44Z,2008-12-09T21:43:01Z,2008-02-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,robot  Adding: [[uk:Бутадієн]],related compounds should have a wiki article,,,181504594,256733594,183809058,256913977,Phe-bot,V8rik
11,2007-12-28T05:28:09Z,2008-12-09T21:43:01Z,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,Reverted edits by [[Special:Contributions/125.60.241.43|125.60.241.43]] ([[User talk:125.60.241.43|talk]]) to last version by OKBot,related compounds should have a wiki article,,,180559926,256733594,180559997,256913977,Kingturtle,V8rik
