Remaining: 438 collecting now: 'Hussein of Jordan|2019-04-29T10:08:25Z' done in 2.8e-05 average: 2.8e-05
Remaining: 437 collecting now: 'Hussein of Jordan|2020-01-29T13:06:57Z' done in 0.033095 average: 0.0165615
Remaining: 436 collecting now: 'Chachani|2020-01-22T01:47:10Z' done in 0.029072 average: 0.020731666666666666
Remaining: 435 collecting now: 'Chachani|2018-04-04T01:13:37Z' done in 0.057319 average: 0.029878500000000002
Remaining: 434 collecting now: 'U.S. Route 30 in Indiana|2009-04-26T23:14:31Z' done in 0.053218 average: 0.0345464
Remaining: 433 collecting now: 'Roderigo Lopez|2017-02-20T18:26:59Z' done in 0.006881 average: 0.0299355
Remaining: 432 collecting now: 'Hussein of Jordan|2019-08-31T21:32:46Z' done in 0.05551 average: 0.033589
Remaining: 431 collecting now: 'Hussein of Jordan|2006-02-27T17:34:30Z' done in 0.11395 average: 0.043634124999999996
Remaining: 430 collecting now: 'Hussein of Jordan|2019-05-09T11:10:06Z' done in 0.010073 average: 0.039905111111111106
Remaining: 429 collecting now: 'Hussein of Jordan|2017-06-30T23:59:25Z' done in 0.082488 average: 0.0441634
Remaining: 428 collecting now: 'Roderigo Lopez|2019-09-08T00:53:52Z' done in 0.078191 average: 0.04725681818181818
Remaining: 427 collecting now: 'U.S. Route 30 in Indiana|2010-06-22T04:35:12Z' done in 0.055434 average: 0.047938249999999995
Remaining: 426 collecting now: 'Roderigo Lopez|2015-05-01T16:14:53Z' done in 0.004813 average: 0.04462092307692307
Remaining: 425 collecting now: 'U.S. Route 30 in Indiana|2011-05-29T01:35:31Z' done in 0.004962 average: 0.04178814285714285
Remaining: 424 collecting now: 'U.S. Route 30 in Indiana|2006-06-09T14:11:52Z' done in 0.004043 average: 0.039271799999999996
Remaining: 423 collecting now: 'Roderigo Lopez|2013-07-26T13:51:26Z' done in 0.001643 average: 0.036919999999999994
Remaining: 422 collecting now: 'Hussein of Jordan|2009-05-27T01:50:23Z' done in 0.004679 average: 0.03502347058823529
Remaining: 421 collecting now: 'Chachani|2007-02-11T04:28:19Z' done in 0.055994 average: 0.03618849999999999
Remaining: 420 collecting now: 'Hussein of Jordan|2007-03-19T23:00:32Z' done in 0.003635 average: 0.03447515789473684
Remaining: 419 collecting now: 'Chachani|2015-03-04T13:41:50Z' done in 0.060097 average: 0.035756249999999996
Remaining: 418 collecting now: 'U.S. Route 30 in Indiana|2017-05-12T12:31:18Z' done in 0.004817 average: 0.03428295238095237
Remaining: 417 collecting now: 'Hussein of Jordan|2009-08-31T06:38:05Z' done in 0.051086 average: 0.035046727272727264
Remaining: 416 collecting now: 'Roderigo Lopez|2008-07-25T08:57:03Z' done in 0.068344 average: 0.036494434782608685
Remaining: 415 collecting now: 'Roderigo Lopez|2010-04-29T20:18:33Z' done in 0.005478 average: 0.03520208333333332
Remaining: 414 collecting now: 'U.S. Route 30 in Indiana|2009-07-13T04:25:06Z' done in 0.004354 average: 0.03396815999999999
Remaining: 413 collecting now: 'Hussein of Jordan|2005-02-17T20:53:33Z' done in 0.006674 average: 0.032918384615384606
