"title";"timestamp";"Section count";"Subsection count";"Complete URL link count";"Complete URL link count per section";"Complete URL link count per length";"Relative URL link count";"Relative URL link count per section";"Relative URL link count per length";"Same page link count";"Same page link count per section";"Same page link count per length";"Mean section size";"Mean subsection size";"Largest section size";"Shortest section size";"Standard deviation of the section size";"Images count";"Images per length";"Images per section";"Images per subsection";"Phrase count";"Large phrase count";"Paragraph count";"Large paragraph count";"Largest phrase size";"Large phrase rate";"Short phrase rate";"Char Count";"Word Count";"Articles count";"Auxiliary verbs count";"Coordination conjunctions count";"Correlative conjunctions count";"Indefinite pronouns count";"Interrogative pronouns count";"Prepositions count";"Pronouns count";"Relative pronoums count";"Subordinating conjunctions count";"To be verbs count";"Sentences starting with articles";"Sentences starting with auxiliary verbs";"Sentences starting with coordination conjunctions";"Sentences starting with correlative conjunctions";"Sentences starting with indefinite pronouns";"Sentences starting with interrogative pronouns";"Sentences starting with prepositions";"Sentences starting with pronouns";"Sentences starting with relative pronoums";"Sentences starting with subordinating conjunctions";"Sentences starting with to be verbs";"ARI readability feature";"Coleman-Liau readability feature";"Flesch Reading Ease Readability Feature";"Flesch Kincaid Readability Feature";"Gunning Fog Index readability feature";"Lasbarhetsindex readability feature";"SMOG Grading readability feature"
"title";"timestamp";"Section count";"Subsection count";"Complete URL link count";"Complete URL link count per section";"Complete URL link count per length";"Relative URL link count";"Relative URL link count per section";"Relative URL link count per length";"Same page link count";"Same page link count per section";"Same page link count per length";"Mean section size";"Mean subsection size";"Largest section size";"Shortest section size";"Standard deviation of the section size";"Images count";"Images per length";"Images per section";"Images per subsection";"Phrase count";"Large phrase count";"Paragraph count";"Large paragraph count";"Largest phrase size";"Large phrase rate";"Short phrase rate";"Char Count";"Word Count";"Articles count";"Auxiliary verbs count";"Coordination conjunctions count";"Correlative conjunctions count";"Indefinite pronouns count";"Interrogative pronouns count";"Prepositions count";"Pronouns count";"Relative pronoums count";"Subordinating conjunctions count";"To be verbs count";"Sentences starting with articles";"Sentences starting with auxiliary verbs";"Sentences starting with coordination conjunctions";"Sentences starting with correlative conjunctions";"Sentences starting with indefinite pronouns";"Sentences starting with interrogative pronouns";"Sentences starting with prepositions";"Sentences starting with pronouns";"Sentences starting with relative pronoums";"Sentences starting with subordinating conjunctions";"Sentences starting with to be verbs";"ARI readability feature";"Coleman-Liau readability feature";"Flesch Reading Ease Readability Feature";"Flesch Kincaid Readability Feature";"Gunning Fog Index readability feature";"Lasbarhetsindex readability feature";"SMOG Grading readability feature"
"Hussein of Jordan";"2014-11-22T07:21:42Z";10;10;6;0.6;0.00023529411764705883;204;20.4;0.008;60;6.0;0.002352941176470588;2486.6;779.5;10490;13;3189.6327966989834;6;0.00023529411764705883;0.6;0.6;211;154;311;18;750;0.3127962085308057;0.6113744075829384;25500;4221;285;61;121;2;26;16;603;184;35;51;82;11;0;1;1;2;0;16;40;1;5;0;11.13480037187118;10.828095238095237;40.65982710011218;12.55783270512704;12.588486589844727;31.47121647461182;67.96922348312314
"Hussein of Jordan";"2019-11-16T01:07:57Z";12;21;2;0.16666666666666666;2.291134455225505e-05;573;47.75;0.006564100214221071;277;23.083333333333332;0.003173221220487324;6988.75;3245.0476190476193;57086;13;16012.316737294905;26;0.00029784747917931565;2.1666666666666665;2.1666666666666665;592;542;585;42;568;0.34459459459459457;0.5456081081081081;87293;14366;1186;210;491;25;109;82;2057;575;194;275;296;11;0;0;0;1;0;9;20;1;6;0;13.51658669493662;11.400256160378675;32.502267057447995;14.754486000165556;14.679609325321422;36.699023313303556;122.858249611781
"U.S. Route 30 in Indiana";"2012-05-18T12:39:14Z";5;3;0;0.0;0.0;31;6.2;0.009253731343283582;11;2.2;0.0032835820895522386;595.0;763.6666666666666;2367;27;998.5181520633463;1;0.00029850746268656717;0.2;0.2;45;24;93;5;88;0.26666666666666666;0.6222222222222222;3350;531;40;1;20;0;3;0;73;12;2;7;2;1;0;1;0;0;0;5;5;0;0;0;6.823672316384176;9.53979284369115;24.70206779661018;12.745333333333338;8.56180790960452;21.4045197740113;26.043437243605826
"U.S. Route 30 in Indiana";"2011-08-18T12:40:18Z";5;3;0;0.0;0.0;31;6.2;0.008920863309352519;10;2.0;0.0028776978417266188;620.0;801.3333333333334;2480;27;1047.1310806198048;1;0.00028776978417266187;0.2;0.2;61;27;93;6;97;0.29508196721311475;0.6557377049180327;3475;566;42;1;20;0;3;0;77;13;2;9;2;1;0;1;0;0;0;5;5;0;0;0;4.822100446040661;7.9352296819788;28.06766118287669;11.649536581127268;7.527729826797196;18.81932456699299;26.790754506740637
"Chachani";"2016-02-28T19:24:58Z";9;0;5;0.5555555555555556;0.0006597176408497163;42;4.666666666666667;0.005541628183137617;41;4.555555555555555;0.0054096846549676735;783.0;0;3295;13;1103.520842576161;1;0.00013194352816994325;0.1111111111111111;0.1111111111111111;77;62;76;0;124;0.42857142857142855;0.42857142857142855;7579;1257;111;31;41;2;14;2;186;20;5;17;32;10;0;1;0;0;0;5;7;0;2;0;9.355583485726683;10.570556881463801;49.93848557170756;10.349415739391873;10.730347456839105;26.82586864209776;38.45419580247167
"Hussein of Jordan";"2017-11-29T01:12:11Z";12;21;2;0.16666666666666666;2.3326879563320814e-05;568;47.333333333333336;0.006624833795983111;267;22.25;0.0031141384217033287;6851.333333333333;3222.8571428571427;56743;13;15925.434632763534;23;0.00026825911497818937;1.9166666666666667;1.9166666666666667;572;525;611;42;592;0.3181818181818182;0.5541958041958042;85738;14088;1144;188;486;22;98;80;2006;539;183;261;283;6;0;0;0;1;1;5;16;2;3;0;13.681750902419559;11.39816155593413;30.609485233676082;15.108540860048528;14.777926559527925;36.94481639881981;121.69288099966232
"U.S. Route 30 in Indiana";"2014-10-06T12:03:30Z";7;0;0;0.0;0.0;75;10.714285714285714;0.008592049490205063;35;5.0;0.00400962309542903;1092.142857142857;0;5513;13;2021.9339280806903;3;0.00034368197960820253;0.42857142857142855;0.42857142857142855;70;55;105;5;158;0.3142857142857143;0.5142857142857142;8729;1437;149;14;55;1;6;3;217;35;10;35;14;17;0;0;0;0;0;20;1;0;7;0;11.20121682075753;10.622178148921364;36.87407411273489;13.21600367829804;12.358958146933094;30.897395367332734;40.907782842049734
"Hussein of Jordan";"2008-03-30T16:23:32Z";12;3;28;2.3333333333333335;0.002553346708006566;139;11.583333333333334;0.012675542586175452;21;1.75;0.0019150100310049243;844.4166666666666;385.3333333333333;4823;13;1318.6223843179073;2;0.0001823819077147547;0.16666666666666666;0.16666666666666666;94;71;176;11;187;0.3723404255319149;0.5851063829787234;10966;1811;117;30;49;1;10;12;206;113;23;29;28;10;0;2;0;0;0;0;22;0;1;0;10.894320523514686;10.93205411374931;47.60363132511719;11.40577751800463;11.63791252041308;29.094781301032697;45.555845661906424
"Fair dealing in United Kingdom law";"2016-08-18T10:03:39Z";5;4;0;0.0;0.0;26;5.2;0.0017003466091164738;43;8.6;0.0028121116996926297;2628.6;1960.5;11879;13;5187.774359009844;0;0.0;0.0;0.0;77;76;58;1;281;0.36363636363636365;0.42857142857142855;15291;2559;270;114;152;20;42;23;288;110;80;102;74;10;0;1;0;0;1;2;7;1;14;0;17.881818638571275;11.581824931613912;31.838248960886744;17.074724907761254;18.717500241064133;46.79375060266033;53.586559479766954
