Remaining: 438 collecting now: 'Hussein of Jordan|2014-11-22T07:21:42Z.html' done in 1.4e-05 average: 1.4e-05
Remaining: 437 collecting now: 'Hussein of Jordan|2019-11-16T01:07:57Z.html' done in 0.51207 average: 0.256042
Remaining: 436 collecting now: 'U.S. Route 30 in Indiana|2012-05-18T12:39:14Z.html' done in 1.673026 average: 0.72837
Remaining: 435 collecting now: 'U.S. Route 30 in Indiana|2011-08-18T12:40:18Z.html' done in 0.07235 average: 0.564365
Remaining: 434 collecting now: 'Chachani|2016-02-28T19:24:58Z.html' done in 0.066642 average: 0.46482039999999997
Remaining: 433 collecting now: 'Hussein of Jordan|2017-11-29T01:12:11Z.html' done in 0.147575 average: 0.4119461666666666
Remaining: 432 collecting now: 'U.S. Route 30 in Indiana|2014-10-06T12:03:30Z.html' done in 1.877456 average: 0.6213047142857143
Remaining: 431 collecting now: 'Hussein of Jordan|2008-03-30T16:23:32Z.html' done in 0.308261 average: 0.58217425
Remaining: 430 collecting now: 'Fair dealing in United Kingdom law|2016-08-18T10:03:39Z.html' done in 0.317983 average: 0.5528196666666667
Remaining: 429 collecting now: 'Hussein of Jordan|2019-04-29T10:08:25Z.html' done in 0.305781 average: 0.5281157999999999
Remaining: 428 collecting now: 'Hussein of Jordan|2009-09-30T20:49:17Z.html' done in 1.75389 average: 0.6395498181818181
Remaining: 427 collecting now: 'Hussein of Jordan|2006-04-26T18:15:45Z.html' done in 0.344496 average: 0.614962
Remaining: 426 collecting now: 'U.S. Route 30 in Indiana|2016-06-10T18:12:30Z.html' done in 0.123173 average: 0.577132076923077
Remaining: 425 collecting now: 'Hussein of Jordan|2016-09-13T22:09:30Z.html' done in 0.18451 average: 0.549087642857143
Remaining: 424 collecting now: 'Chachani|2011-06-04T22:32:11Z.html' done in 0.695366 average: 0.5588395333333335
Remaining: 423 collecting now: 'Chachani|2016-03-23T23:53:36Z.html' done in 0.049161 average: 0.5269846250000001
Remaining: 422 collecting now: 'Chachani|2017-07-15T11:38:18Z.html' done in 0.131045 average: 0.5036940588235295
Remaining: 421 collecting now: 'Chachani|2018-04-04T01:13:37Z.html' done in 0.146058 average: 0.483825388888889
Remaining: 420 collecting now: 'Hussein of Jordan|2010-06-15T22:57:17Z.html' done in 0.130484 average: 0.46522847368421055
Remaining: 419 collecting now: 'Chachani|2014-03-29T14:40:22Z.html' done in 0.355554 average: 0.45974475000000004
Remaining: 418 collecting now: 'Hussein of Jordan|2012-08-20T20:46:07Z.html' done in 0.049093 average: 0.4401899047619048
Remaining: 417 collecting now: 'Hussein of Jordan|2015-06-22T12:35:09Z.html' done in 0.575877 average: 0.4463575
Remaining: 416 collecting now: 'Hussein of Jordan|2008-07-23T21:53:24Z.html' done in 0.705357 average: 0.45761834782608696
Remaining: 415 collecting now: 'Roderigo Lopez|2017-06-07T19:39:24Z.html' done in 0.305011 average: 0.45125970833333334
Remaining: 414 collecting now: 'Roderigo Lopez|2006-11-17T16:03:49Z.html' done in 0.438304 average: 0.45074148
Remaining: 413 collecting now: 'Hussein of Jordan|2010-02-17T17:51:59Z.html' done in 0.080957 average: 0.436519
