"pageid","title","access","revision.revid","revision.parentid","revision.user","revision.timestamp","revision.comment","revision.anon","category","raw_category"
60860440,"Chachani","2020-03-01T00:00:00Z",936956441,933996581,"Esprit15d","2020-01-22T01:47:10Z","clean up, [[WP:AWB/T|typo(s) fixed]]: northwest-southeast → northwest–southeast, east-west → east–west, west-east → west–east","","GA","[('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', '')]"
60860440,"Chachani","2020-02-01T00:00:00Z",936956441,933996581,"Esprit15d","2020-01-22T01:47:10Z","clean up, [[WP:AWB/T|typo(s) fixed]]: northwest-southeast → northwest–southeast, east-west → east–west, west-east → west–east","","",""
60860440,"Chachani","2020-01-01T00:00:00Z",929417505,917438537,"Canterbury Tail","2019-12-05T18:14:49Z","/* External links */ remove non-external link from external links","","GA","[('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', '')]"
60860440,"Chachani","2019-12-01T00:00:00Z",917438537,916499555,"Legobot","2019-09-23T20:42:22Z","Adding Good Article icon","","GA","[('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', '')]"
60860440,"Chachani","2019-11-01T00:00:00Z",917438537,916499555,"Legobot","2019-09-23T20:42:22Z","Adding Good Article icon","","",""
60860440,"Chachani","2019-10-01T00:00:00Z",917438537,916499555,"Legobot","2019-09-23T20:42:22Z","Adding Good Article icon","","",""
60860440,"Chachani","2019-09-01T00:00:00Z",911654869,911643154,"Jo-Jo Eumerus","2019-08-20T08:19:26Z","No working DOI here","","Start","[('class=Start |', 'Start ', '', ''), ('class=Start|', 'Start', '', ''), ('class=Stub|', 'Stub', '', '')]"
60860440,"Chachani","2019-08-01T00:00:00Z",905133505,904934893,"Citation bot","2019-07-07T02:54:28Z","Alter: doi-broken-date. | You can [[WP:UCB|use this bot]] yourself. [[WP:DBUG|Report bugs here]].| Activated by [[User:Marianne Zimmerman]]","","Start","[('class=Start |', 'Start ', '', ''), ('class=Start|', 'Start', '', ''), ('class=Stub|', 'Stub', '', '')]"
60860440,"Chachani","2019-07-01T00:00:00Z",903221692,903220839,"Jo-Jo Eumerus","2019-06-24T10:32:15Z","Fixing reference error","","Start","[('class=Start |', 'Start ', '', ''), ('class=Start|', 'Start', '', ''), ('class=Stub|', 'Stub', '', '')]"
60860440,"Chachani","2019-06-01T00:00:00Z",899561666,899077210,"Esprit15d","2019-05-30T21:26:57Z","clean up, [[WP:AWB/T|typo(s) fixed]]: Neverthless → Nevertheless, e.g  → e.g.","","Start","[('class=Start |', 'Start ', '', ''), ('class=Start|', 'Start', '', ''), ('class=Stub|', 'Stub', '', '')]"
60860440,"Chachani","2019-05-01T00:00:00Z",884424849,884413777,"Jo-Jo Eumerus","2019-02-21T15:16:27Z","Reverted to revision 883412584 by [[Special:Contributions/Citation bot|Citation bot]] ([[User talk:Citation bot|talk]]): Disruptive edit ([[WP:TW|TW]])","","Start","[('class=Start |', 'Start ', '', ''), ('class=Start|', 'Start', '', ''), ('class=Stub|', 'Stub', '', '')]"
60860440,"Chachani","2019-04-01T00:00:00Z",884424849,884413777,"Jo-Jo Eumerus","2019-02-21T15:16:27Z","Reverted to revision 883412584 by [[Special:Contributions/Citation bot|Citation bot]] ([[User talk:Citation bot|talk]]): Disruptive edit ([[WP:TW|TW]])","","",""
60860440,"Chachani","2019-03-01T00:00:00Z",884424849,884413777,"Jo-Jo Eumerus","2019-02-21T15:16:27Z","Reverted to revision 883412584 by [[Special:Contributions/Citation bot|Citation bot]] ([[User talk:Citation bot|talk]]): Disruptive edit ([[WP:TW|TW]])","","",""
60860440,"Chachani","2019-02-01T00:00:00Z",877807974,877806336,"Gumruch","2019-01-11T01:11:09Z","Reverted 1 edit by [[Special:Contributions/190.42.16.167|190.42.16.167]] ([[User talk:190.42.16.167|talk]]): Not in the source. ([[WP:TW|TW]])","","Start","[('class=Start |', 'Start ', '', ''), ('class=Start|', 'Start', '', ''), ('class=Stub|', 'Stub', '', '')]"
60860440,"Chachani","2019-01-01T00:00:00Z",872976205,872975985,"Materialscientist","2018-12-10T12:03:38Z","Reverted 1 edit by [[Special:Contributions/Bebe saging|Bebe saging]] identified as test/vandalism using [[WP:STiki|STiki]]","","Start","[('class=Start |', 'Start ', '', ''), ('class=Start|', 'Start', '', ''), ('class=Stub|', 'Stub', '', '')]"
60860440,"Chachani","2018-12-01T00:00:00Z",847121587,843103090,"Bibcode Bot","2018-06-23T03:01:59Z","Adding 0 [[arXiv|arxiv eprint(s)]], 6 [[bibcode|bibcode(s)]] and 0 [[digital object identifier|doi(s)]]. Did it miss something? Report bugs, errors, and suggestions at [[User talk:Bibcode Bot]]","","Start","[('class=Start |', 'Start ', '', ''), ('class=Start|', 'Start', '', ''), ('class=Stub|', 'Stub', '', '')]"
