"pageid","title","access","revision.revid","revision.parentid","revision.user","revision.timestamp","revision.comment","revision.anon","category","raw_category"
32796399,"Fair dealing in United Kingdom law","2020-03-01T00:00:00Z",932655159,829292708,"Plopatries","2019-12-27T11:41:48Z","Typo - changed ""It"" to ""it""","","GA","[('class=GA}', '', 'GA', '')]"
32796399,"Fair dealing in United Kingdom law","2020-02-01T00:00:00Z",932655159,829292708,"Plopatries","2019-12-27T11:41:48Z","Typo - changed ""It"" to ""it""","","",""
32796399,"Fair dealing in United Kingdom law","2020-01-01T00:00:00Z",932655159,829292708,"Plopatries","2019-12-27T11:41:48Z","Typo - changed ""It"" to ""it""","","",""
32796399,"Fair dealing in United Kingdom law","2019-12-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","GA","[('class=GA}', '', 'GA', '')]"
32796399,"Fair dealing in United Kingdom law","2019-11-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
32796399,"Fair dealing in United Kingdom law","2019-10-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
32796399,"Fair dealing in United Kingdom law","2019-09-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
32796399,"Fair dealing in United Kingdom law","2019-08-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
32796399,"Fair dealing in United Kingdom law","2019-07-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
32796399,"Fair dealing in United Kingdom law","2019-06-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
32796399,"Fair dealing in United Kingdom law","2019-05-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
32796399,"Fair dealing in United Kingdom law","2019-04-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
32796399,"Fair dealing in United Kingdom law","2019-03-01T00:00:00Z",829292708,747213566,"Tom Morris","2018-03-07T19:24:33Z","/* Parody, caricature and pastiche */ adding brief section on enforcement/procedure","","",""
